name,description,category,price,sale_price,discount,unit,image,bar_code,quantity,min_quantity
Product 46,Description for Product 46,Health,101.49,315.43,7,кг,https://example.com/images/product46.jpg,1234567890046,43,5
Product 47,Description for Product 47,Toys,455.34,402.31,7,кг,https://example.com/images/product47.jpg,1234567890047,58,10
Product 48,Description for Product 48,Fashion,43.34,156.56,24,шт,https://example.com/images/product48.jpg,1234567890048,96,1
Product 49,Description for Product 49,Beauty,469.02,339.28,31,шт,https://example.com/images/product49.jpg,1234567890049,92,4
Product 50,Description for Product 50,Fashion,397.55,76.51,21,шт,https://example.com/images/product50.jpg,1234567890050,15,4
Product 51,Description for Product 51,Toys,21.55,374.95,50,кг,https://example.com/images/product51.jpg,1234567890051,58,3
Product 52,Description for Product 52,Health,359.41,379.34,20,шт,https://example.com/images/product52.jpg,1234567890052,48,3
Product 53,Description for Product 53,Home,265.84,413.4,28,шт,https://example.com/images/product53.jpg,1234567890053,24,7
Product 54,Description for Product 54,Automotive,58.42,129.61,38,шт,https://example.com/images/product54.jpg,1234567890054,21,7
Product 55,Description for Product 55,Health,357.42,149.57,50,кг,https://example.com/images/product55.jpg,1234567890055,45,4
Product 56,Description for Product 56,Grocery,162.13,119.82,43,кг,https://example.com/images/product56.jpg,1234567890056,25,10
Product 57,Description for Product 57,Toys,484.33,9.26,40,кг,https://example.com/images/product57.jpg,1234567890057,64,10
Product 58,Description for Product 58,Home,80.37,48.33,5,шт,https://example.com/images/product58.jpg,1234567890058,90,2
Product 59,Description for Product 59,Sports,268.56,6.36,12,кг,https://example.com/images/product59.jpg,1234567890059,1,9
Product 60,Description for Product 60,Home,353.44,23.9,9,шт,https://example.com/images/product60.jpg,1234567890060,88,9
Product 61,Description for Product 61,Health,380.92,355.78,24,шт,https://example.com/images/product61.jpg,1234567890061,48,3
Product 62,Description for Product 62,Electronics,83.72,402.48,41,кг,https://example.com/images/product62.jpg,1234567890062,27,9
Product 63,Description for Product 63,Beauty,74.49,349.38,39,кг,https://example.com/images/product63.jpg,1234567890063,86,5
Product 64,Description for Product 64,Fashion,166.11,77.34,8,кг,https://example.com/images/product64.jpg,1234567890064,8,7
Product 65,Description for Product 65,Books,222.1,405.62,5,кг,https://example.com/images/product65.jpg,1234567890065,89,6
Product 66,Description for Product 66,Home,326.6,33.15,34,кг,https://example.com/images/product66.jpg,1234567890066,56,7
Product 67,Description for Product 67,Toys,173.77,178.6,30,кг,https://example.com/images/product67.jpg,1234567890067,88,1
Product 68,Description for Product 68,Automotive,142.93,70.34,7,шт,https://example.com/images/product68.jpg,1234567890068,66,8
Product 69,Description for Product 69,Books,33.56,401.28,28,шт,https://example.com/images/product69.jpg,1234567890069,10,5
Product 70,Description for Product 70,Grocery,132.57,448.18,26,кг,https://example.com/images/product70.jpg,1234567890070,97,7
Product 71,Description for Product 71,Fashion,398.1,282.1,13,шт,https://example.com/images/product71.jpg,1234567890071,66,5
Product 72,Description for Product 72,Automotive,253.11,320.71,35,кг,https://example.com/images/product72.jpg,1234567890072,88,3
Product 73,Description for Product 73,Sports,142.07,204.24,21,шт,https://example.com/images/product73.jpg,1234567890073,34,4
Product 74,Description for Product 74,Fashion,460.87,278.34,49,кг,https://example.com/images/product74.jpg,1234567890074,65,6
Product 75,Description for Product 75,Toys,51.13,363.32,37,кг,https://example.com/images/product75.jpg,1234567890075,14,4
Product 76,Description for Product 76,Automotive,471.88,97.83,47,шт,https://example.com/images/product76.jpg,1234567890076,22,6
Product 77,Description for Product 77,Books,445.5,79.52,11,шт,https://example.com/images/product77.jpg,1234567890077,84,10
Product 78,Description for Product 78,Sports,260.75,400.21,48,шт,https://example.com/images/product78.jpg,1234567890078,23,10
Product 79,Description for Product 79,Sports,426.86,118.07,39,шт,https://example.com/images/product79.jpg,1234567890079,48,2
Product 80,Description for Product 80,Beauty,24.95,142.2,50,шт,https://example.com/images/product80.jpg,1234567890080,10,4
Product 81,Description for Product 81,Fashion,367.6,384.85,48,кг,https://example.com/images/product81.jpg,1234567890081,100,8
Product 82,Description for Product 82,Fashion,11.54,84.02,37,шт,https://example.com/images/product82.jpg,1234567890082,23,2
Product 83,Description for Product 83,Grocery,366.51,384.89,43,кг,https://example.com/images/product83.jpg,1234567890083,6,10
Product 84,Description for Product 84,Health,401.36,221.56,9,шт,https://example.com/images/product84.jpg,1234567890084,76,4
Product 85,Description for Product 85,Home,227.45,445.94,20,шт,https://example.com/images/product85.jpg,1234567890085,94,7
Product 86,Description for Product 86,Sports,370.42,156.81,6,кг,https://example.com/images/product86.jpg,1234567890086,67,1
Product 87,Description for Product 87,Toys,23.39,312.34,38,кг,https://example.com/images/product87.jpg,1234567890087,4,1
Product 88,Description for Product 88,Toys,217.57,405.57,14,шт,https://example.com/images/product88.jpg,1234567890088,88,8
Product 89,Description for Product 89,Fashion,317.17,172.07,31,шт,https://example.com/images/product89.jpg,1234567890089,21,10
Product 90,Description for Product 90,Sports,30.98,377.3,30,шт,https://example.com/images/product90.jpg,1234567890090,36,6
Product 91,Description for Product 91,Home,153.58,387.38,24,шт,https://example.com/images/product91.jpg,1234567890091,98,9
Product 92,Description for Product 92,Grocery,86.14,433.84,21,кг,https://example.com/images/product92.jpg,1234567890092,79,6
Product 93,Description for Product 93,Sports,95.39,251.36,23,кг,https://example.com/images/product93.jpg,1234567890093,59,10
Product 94,Description for Product 94,Automotive,53.77,259.33,45,шт,https://example.com/images/product94.jpg,1234567890094,46,6
Product 95,Description for Product 95,Books,448.58,57.85,42,шт,https://example.com/images/product95.jpg,1234567890095,20,5
Product 96,Description for Product 96,Fashion,154.92,373.92,30,кг,https://example.com/images/product96.jpg,1234567890096,4,8
Product 97,Description for Product 97,Automotive,90.81,426.66,22,кг,https://example.com/images/product97.jpg,1234567890097,46,2
Product 98,Description for Product 98,Health,210.62,293.47,7,шт,https://example.com/images/product98.jpg,1234567890098,86,1
Product 99,Description for Product 99,Fashion,231.72,184.83,5,кг,https://example.com/images/product99.jpg,1234567890099,18,7
Product 100,Description for Product 100,Toys,155.75,258.54,11,шт,https://example.com/images/product100.jpg,1234567890100,7,9
Product 101,Description for Product 101,Health,357.84,255.24,34,кг,https://example.com/images/product101.jpg,1234567890101,7,5
Product 102,Description for Product 102,Health,103.13,184.62,23,кг,https://example.com/images/product102.jpg,1234567890102,71,6
Product 103,Description for Product 103,Automotive,146.35,375.97,24,шт,https://example.com/images/product103.jpg,1234567890103,72,6
Product 104,Description for Product 104,Grocery,490.19,230.39,23,шт,https://example.com/images/product104.jpg,1234567890104,22,5
Product 105,Description for Product 105,Health,437.16,114.76,11,шт,https://example.com/images/product105.jpg,1234567890105,74,1
Product 106,Description for Product 106,Grocery,23.64,278.63,41,кг,https://example.com/images/product106.jpg,1234567890106,4,4
Product 107,Description for Product 107,Fashion,295.1,300.21,43,шт,https://example.com/images/product107.jpg,1234567890107,24,3
Product 108,Description for Product 108,Health,404.87,293.31,45,шт,https://example.com/images/product108.jpg,1234567890108,12,9
Product 109,Description for Product 109,Books,81.17,318.26,22,шт,https://example.com/images/product109.jpg,1234567890109,90,2
Product 110,Description for Product 110,Grocery,181.55,43.79,29,кг,https://example.com/images/product110.jpg,1234567890110,84,5
Product 111,Description for Product 111,Toys,453.88,180.34,7,шт,https://example.com/images/product111.jpg,1234567890111,75,8
Product 112,Description for Product 112,Toys,380.93,85.77,8,кг,https://example.com/images/product112.jpg,1234567890112,82,8
Product 113,Description for Product 113,Fashion,189.37,344.37,12,шт,https://example.com/images/product113.jpg,1234567890113,78,5
Product 114,Description for Product 114,Automotive,382.6,158.32,41,кг,https://example.com/images/product114.jpg,1234567890114,29,7
Product 115,Description for Product 115,Home,380.43,140.79,5,шт,https://example.com/images/product115.jpg,1234567890115,5,3
Product 116,Description for Product 116,Electronics,204.92,99.87,49,кг,https://example.com/images/product116.jpg,1234567890116,21,2
Product 117,Description for Product 117,Books,349.83,426.2,48,кг,https://example.com/images/product117.jpg,1234567890117,57,8
Product 118,Description for Product 118,Sports,345.87,269.11,46,шт,https://example.com/images/product118.jpg,1234567890118,52,4
Product 119,Description for Product 119,Sports,37.92,441.86,15,кг,https://example.com/images/product119.jpg,1234567890119,59,6
Product 120,Description for Product 120,Electronics,219.11,33.52,28,кг,https://example.com/images/product120.jpg,1234567890120,48,7
Product 121,Description for Product 121,Home,335.92,430.3,32,кг,https://example.com/images/product121.jpg,1234567890121,57,9
Product 122,Description for Product 122,Fashion,313.04,369.7,22,шт,https://example.com/images/product122.jpg,1234567890122,3,3
Product 123,Description for Product 123,Toys,245.16,393.7,44,шт,https://example.com/images/product123.jpg,1234567890123,99,10
Product 124,Description for Product 124,Fashion,176.36,276.4,38,шт,https://example.com/images/product124.jpg,1234567890124,40,5
Product 125,Description for Product 125,Toys,214.39,324.54,39,кг,https://example.com/images/product125.jpg,1234567890125,23,10
Product 126,Description for Product 126,Beauty,30.37,181.59,37,шт,https://example.com/images/product126.jpg,1234567890126,61,6
Product 127,Description for Product 127,Health,431.26,241.23,13,шт,https://example.com/images/product127.jpg,1234567890127,89,2
Product 128,Description for Product 128,Grocery,178.58,357.13,13,шт,https://example.com/images/product128.jpg,1234567890128,36,7
Product 129,Description for Product 129,Automotive,472.81,138.72,42,кг,https://example.com/images/product129.jpg,1234567890129,68,3
Product 130,Description for Product 130,Fashion,118.7,110.1,27,шт,https://example.com/images/product130.jpg,1234567890130,23,9
Product 131,Description for Product 131,Toys,495.39,18.37,18,шт,https://example.com/images/product131.jpg,1234567890131,67,5
Product 132,Description for Product 132,Fashion,386.75,350.75,23,шт,https://example.com/images/product132.jpg,1234567890132,5,4
Product 133,Description for Product 133,Automotive,105.25,191.08,5,шт,https://example.com/images/product133.jpg,1234567890133,38,4
Product 134,Description for Product 134,Grocery,240.14,84.04,19,кг,https://example.com/images/product134.jpg,1234567890134,100,2
Product 135,Description for Product 135,Health,190.91,409.35,34,кг,https://example.com/images/product135.jpg,1234567890135,32,9
Product 136,Description for Product 136,Automotive,304.0,277.93,30,кг,https://example.com/images/product136.jpg,1234567890136,45,10
Product 137,Description for Product 137,Beauty,390.34,69.9,6,шт,https://example.com/images/product137.jpg,1234567890137,67,1
Product 138,Description for Product 138,Home,195.5,293.79,14,кг,https://example.com/images/product138.jpg,1234567890138,69,9
Product 139,Description for Product 139,Grocery,130.17,171.42,47,кг,https://example.com/images/product139.jpg,1234567890139,7,8
Product 140,Description for Product 140,Home,233.68,17.93,24,кг,https://example.com/images/product140.jpg,1234567890140,63,7
Product 141,Description for Product 141,Books,229.03,185.01,31,шт,https://example.com/images/product141.jpg,1234567890141,29,8
Product 142,Description for Product 142,Health,292.72,137.55,47,кг,https://example.com/images/product142.jpg,1234567890142,27,8
Product 143,Description for Product 143,Fashion,23.91,370.35,9,шт,https://example.com/images/product143.jpg,1234567890143,83,1
Product 144,Description for Product 144,Home,74.58,431.98,41,кг,https://example.com/images/product144.jpg,1234567890144,82,10
Product 145,Description for Product 145,Beauty,267.23,278.7,40,кг,https://example.com/images/product145.jpg,1234567890145,14,3
Product 146,Description for Product 146,Grocery,251.44,263.07,48,шт,https://example.com/images/product146.jpg,1234567890146,27,2
Product 147,Description for Product 147,Beauty,114.88,274.53,24,шт,https://example.com/images/product147.jpg,1234567890147,64,8
Product 148,Description for Product 148,Automotive,229.83,158.16,6,кг,https://example.com/images/product148.jpg,1234567890148,36,9
Product 149,Description for Product 149,Sports,226.32,150.22,43,шт,https://example.com/images/product149.jpg,1234567890149,59,7
Product 150,Description for Product 150,Grocery,406.95,54.71,39,кг,https://example.com/images/product150.jpg,1234567890150,77,5
Product 151,Description for Product 151,Electronics,156.45,192.07,30,кг,https://example.com/images/product151.jpg,1234567890151,34,5
Product 152,Description for Product 152,Toys,286.47,200.87,15,шт,https://example.com/images/product152.jpg,1234567890152,59,6
Product 153,Description for Product 153,Sports,283.09,28.14,18,кг,https://example.com/images/product153.jpg,1234567890153,30,3
Product 154,Description for Product 154,Automotive,125.27,418.49,38,кг,https://example.com/images/product154.jpg,1234567890154,94,1
Product 155,Description for Product 155,Sports,85.62,423.24,6,кг,https://example.com/images/product155.jpg,1234567890155,67,5
Product 156,Description for Product 156,Automotive,22.2,279.48,21,шт,https://example.com/images/product156.jpg,1234567890156,13,3
Product 157,Description for Product 157,Beauty,231.58,229.02,5,шт,https://example.com/images/product157.jpg,1234567890157,72,1
Product 158,Description for Product 158,Grocery,317.84,104.03,18,кг,https://example.com/images/product158.jpg,1234567890158,87,5
Product 159,Description for Product 159,Beauty,283.12,307.04,6,шт,https://example.com/images/product159.jpg,1234567890159,64,8
Product 160,Description for Product 160,Books,451.43,424.18,31,шт,https://example.com/images/product160.jpg,1234567890160,64,1
Product 161,Description for Product 161,Grocery,173.34,291.25,30,шт,https://example.com/images/product161.jpg,1234567890161,74,9
Product 162,Description for Product 162,Sports,390.87,123.07,21,шт,https://example.com/images/product162.jpg,1234567890162,3,1
Product 163,Description for Product 163,Electronics,425.26,317.7,11,кг,https://example.com/images/product163.jpg,1234567890163,29,9
Product 164,Description for Product 164,Health,237.54,105.57,18,шт,https://example.com/images/product164.jpg,1234567890164,4,10
Product 165,Description for Product 165,Fashion,456.06,373.06,43,шт,https://example.com/images/product165.jpg,1234567890165,17,6
Product 166,Description for Product 166,Toys,109.05,132.41,32,кг,https://example.com/images/product166.jpg,1234567890166,15,9
Product 167,Description for Product 167,Electronics,252.25,135.56,39,шт,https://example.com/images/product167.jpg,1234567890167,96,5
Product 168,Description for Product 168,Toys,110.59,336.47,26,кг,https://example.com/images/product168.jpg,1234567890168,67,7
Product 169,Description for Product 169,Automotive,72.55,119.78,21,шт,https://example.com/images/product169.jpg,1234567890169,35,5
Product 170,Description for Product 170,Automotive,10.34,177.76,21,шт,https://example.com/images/product170.jpg,1234567890170,10,3
Product 171,Description for Product 171,Grocery,200.87,343.37,21,шт,https://example.com/images/product171.jpg,1234567890171,69,2
Product 172,Description for Product 172,Home,315.3,138.59,29,кг,https://example.com/images/product172.jpg,1234567890172,34,6
Product 173,Description for Product 173,Grocery,436.53,256.03,34,шт,https://example.com/images/product173.jpg,1234567890173,40,9
Product 174,Description for Product 174,Home,469.46,256.1,40,шт,https://example.com/images/product174.jpg,1234567890174,56,2
Product 175,Description for Product 175,Automotive,343.74,357.72,15,кг,https://example.com/images/product175.jpg,1234567890175,48,9
Product 176,Description for Product 176,Toys,20.82,36.01,20,кг,https://example.com/images/product176.jpg,1234567890176,84,8
Product 177,Description for Product 177,Toys,274.93,116.73,8,шт,https://example.com/images/product177.jpg,1234567890177,99,3
Product 178,Description for Product 178,Health,467.33,389.16,6,кг,https://example.com/images/product178.jpg,1234567890178,98,1
Product 179,Description for Product 179,Fashion,75.4,436.71,25,шт,https://example.com/images/product179.jpg,1234567890179,38,2
Product 180,Description for Product 180,Toys,259.31,164.25,20,шт,https://example.com/images/product180.jpg,1234567890180,66,6
Product 181,Description for Product 181,Home,401.61,287.98,26,кг,https://example.com/images/product181.jpg,1234567890181,83,3
Product 182,Description for Product 182,Health,271.2,190.17,45,кг,https://example.com/images/product182.jpg,1234567890182,46,10
Product 183,Description for Product 183,Home,353.8,316.66,39,шт,https://example.com/images/product183.jpg,1234567890183,4,6
Product 184,Description for Product 184,Automotive,465.84,252.76,44,шт,https://example.com/images/product184.jpg,1234567890184,36,1
Product 185,Description for Product 185,Books,382.4,102.29,11,кг,https://example.com/images/product185.jpg,1234567890185,75,4
Product 186,Description for Product 186,Books,396.3,224.52,35,кг,https://example.com/images/product186.jpg,1234567890186,66,6
Product 187,Description for Product 187,Home,54.12,221.84,36,кг,https://example.com/images/product187.jpg,1234567890187,4,1
Product 188,Description for Product 188,Health,383.21,68.24,46,кг,https://example.com/images/product188.jpg,1234567890188,28,4
Product 189,Description for Product 189,Automotive,424.49,394.06,22,шт,https://example.com/images/product189.jpg,1234567890189,85,9
Product 190,Description for Product 190,Fashion,104.03,30.17,20,кг,https://example.com/images/product190.jpg,1234567890190,36,7
Product 191,Description for Product 191,Home,406.91,87.53,34,кг,https://example.com/images/product191.jpg,1234567890191,92,3
Product 192,Description for Product 192,Toys,342.55,306.01,26,шт,https://example.com/images/product192.jpg,1234567890192,45,1
Product 193,Description for Product 193,Books,406.2,180.36,27,шт,https://example.com/images/product193.jpg,1234567890193,60,4
Product 194,Description for Product 194,Electronics,449.54,213.77,46,кг,https://example.com/images/product194.jpg,1234567890194,4,10
Product 195,Description for Product 195,Electronics,272.83,124.5,20,шт,https://example.com/images/product195.jpg,1234567890195,25,1
Product 196,Description for Product 196,Home,488.84,252.77,37,кг,https://example.com/images/product196.jpg,1234567890196,74,5
Product 197,Description for Product 197,Books,89.33,246.45,16,шт,https://example.com/images/product197.jpg,1234567890197,18,6
Product 198,Description for Product 198,Electronics,350.49,8.87,47,кг,https://example.com/images/product198.jpg,1234567890198,91,5
Product 199,Description for Product 199,Automotive,161.58,57.67,43,шт,https://example.com/images/product199.jpg,1234567890199,68,9
Product 200,Description for Product 200,Electronics,337.45,118.5,42,шт,https://example.com/images/product200.jpg,1234567890200,80,6
Product 201,Description for Product 201,Toys,100.34,258.62,49,кг,https://example.com/images/product201.jpg,1234567890201,66,3
Product 202,Description for Product 202,Automotive,370.76,111.22,45,шт,https://example.com/images/product202.jpg,1234567890202,36,2
Product 203,Description for Product 203,Grocery,127.4,289.32,47,шт,https://example.com/images/product203.jpg,1234567890203,77,8
Product 204,Description for Product 204,Electronics,395.94,348.37,16,кг,https://example.com/images/product204.jpg,1234567890204,71,5
Product 205,Description for Product 205,Automotive,327.17,358.56,18,шт,https://example.com/images/product205.jpg,1234567890205,78,2
Product 206,Description for Product 206,Electronics,454.82,126.78,45,кг,https://example.com/images/product206.jpg,1234567890206,41,2
Product 207,Description for Product 207,Books,436.44,434.01,28,кг,https://example.com/images/product207.jpg,1234567890207,11,10
Product 208,Description for Product 208,Toys,375.57,318.13,6,кг,https://example.com/images/product208.jpg,1234567890208,21,7
Product 209,Description for Product 209,Fashion,107.56,261.66,36,кг,https://example.com/images/product209.jpg,1234567890209,93,10
Product 210,Description for Product 210,Beauty,297.83,420.51,17,кг,https://example.com/images/product210.jpg,1234567890210,33,6
Product 211,Description for Product 211,Home,154.87,81.14,12,кг,https://example.com/images/product211.jpg,1234567890211,64,3
Product 212,Description for Product 212,Fashion,281.39,36.19,22,кг,https://example.com/images/product212.jpg,1234567890212,2,5
Product 213,Description for Product 213,Health,129.38,244.71,46,шт,https://example.com/images/product213.jpg,1234567890213,21,9
Product 214,Description for Product 214,Electronics,73.91,266.03,16,шт,https://example.com/images/product214.jpg,1234567890214,19,2
Product 215,Description for Product 215,Beauty,315.52,347.96,48,кг,https://example.com/images/product215.jpg,1234567890215,28,2
Product 216,Description for Product 216,Books,132.33,360.0,5,шт,https://example.com/images/product216.jpg,1234567890216,36,6
Product 217,Description for Product 217,Books,333.02,191.97,26,шт,https://example.com/images/product217.jpg,1234567890217,27,9
Product 218,Description for Product 218,Electronics,359.74,303.4,6,кг,https://example.com/images/product218.jpg,1234567890218,66,6
Product 219,Description for Product 219,Beauty,454.76,20.2,24,кг,https://example.com/images/product219.jpg,1234567890219,93,3
Product 220,Description for Product 220,Toys,363.35,53.03,26,кг,https://example.com/images/product220.jpg,1234567890220,29,2
Product 221,Description for Product 221,Books,360.22,178.04,30,шт,https://example.com/images/product221.jpg,1234567890221,53,3
Product 222,Description for Product 222,Automotive,22.36,157.13,9,кг,https://example.com/images/product222.jpg,1234567890222,94,10
Product 223,Description for Product 223,Grocery,224.3,94.91,21,кг,https://example.com/images/product223.jpg,1234567890223,42,3
Product 224,Description for Product 224,Books,184.19,375.77,47,шт,https://example.com/images/product224.jpg,1234567890224,20,3
Product 225,Description for Product 225,Toys,323.69,302.18,27,кг,https://example.com/images/product225.jpg,1234567890225,83,3
Product 226,Description for Product 226,Books,256.82,163.89,35,шт,https://example.com/images/product226.jpg,1234567890226,97,4
Product 227,Description for Product 227,Fashion,75.22,412.01,40,кг,https://example.com/images/product227.jpg,1234567890227,42,8
Product 228,Description for Product 228,Health,89.63,157.85,49,шт,https://example.com/images/product228.jpg,1234567890228,38,3
Product 229,Description for Product 229,Automotive,478.18,283.37,29,кг,https://example.com/images/product229.jpg,1234567890229,37,1
Product 230,Description for Product 230,Grocery,341.22,434.84,41,шт,https://example.com/images/product230.jpg,1234567890230,26,5
Product 231,Description for Product 231,Home,199.54,287.58,38,кг,https://example.com/images/product231.jpg,1234567890231,92,9
Product 232,Description for Product 232,Sports,376.03,60.98,13,шт,https://example.com/images/product232.jpg,1234567890232,59,2
Product 233,Description for Product 233,Home,397.05,199.32,21,кг,https://example.com/images/product233.jpg,1234567890233,76,10
Product 234,Description for Product 234,Books,386.27,236.48,43,шт,https://example.com/images/product234.jpg,1234567890234,77,4
Product 235,Description for Product 235,Fashion,279.02,6.57,35,шт,https://example.com/images/product235.jpg,1234567890235,54,9
Product 236,Description for Product 236,Toys,195.06,19.83,40,кг,https://example.com/images/product236.jpg,1234567890236,69,6
Product 237,Description for Product 237,Grocery,184.64,80.75,32,шт,https://example.com/images/product237.jpg,1234567890237,88,5
Product 238,Description for Product 238,Home,455.2,170.24,6,кг,https://example.com/images/product238.jpg,1234567890238,14,9
Product 239,Description for Product 239,Beauty,29.78,361.76,38,кг,https://example.com/images/product239.jpg,1234567890239,51,7
Product 240,Description for Product 240,Toys,432.52,177.24,37,кг,https://example.com/images/product240.jpg,1234567890240,3,1
Product 241,Description for Product 241,Sports,316.57,384.74,38,кг,https://example.com/images/product241.jpg,1234567890241,20,4
Product 242,Description for Product 242,Books,142.23,300.27,30,шт,https://example.com/images/product242.jpg,1234567890242,50,7
Product 243,Description for Product 243,Toys,330.41,337.1,19,шт,https://example.com/images/product243.jpg,1234567890243,20,7
Product 244,Description for Product 244,Automotive,48.18,363.83,20,кг,https://example.com/images/product244.jpg,1234567890244,88,3
Product 245,Description for Product 245,Toys,306.98,187.25,17,кг,https://example.com/images/product245.jpg,1234567890245,24,7
Product 246,Description for Product 246,Electronics,246.75,147.97,38,кг,https://example.com/images/product246.jpg,1234567890246,23,9
Product 247,Description for Product 247,Toys,363.38,307.74,47,шт,https://example.com/images/product247.jpg,1234567890247,68,6
Product 248,Description for Product 248,Grocery,461.88,440.36,8,шт,https://example.com/images/product248.jpg,1234567890248,10,1
Product 249,Description for Product 249,Toys,173.23,150.47,11,шт,https://example.com/images/product249.jpg,1234567890249,12,9
Product 250,Description for Product 250,Electronics,222.16,365.37,44,кг,https://example.com/images/product250.jpg,1234567890250,12,10
Product 251,Description for Product 251,Electronics,205.67,228.18,50,кг,https://example.com/images/product251.jpg,1234567890251,79,5
Product 252,Description for Product 252,Automotive,420.28,243.83,48,кг,https://example.com/images/product252.jpg,1234567890252,100,10
